Tarih;Saat;PTF (TL/MWh);PTF (USD/MWh);PTF (EUR/MWh)
01.01.2015;00:00;70,23;30,29;24,90
01.01.2015;01:00;20,02;8,63;7,10
01.01.2015;02:00;0,00;0,00;0,00
01.01.2015;03:00;0,00;0,00;0,00
01.01.2015;04:00;0,00;0,00;0,00
01.01.2015;05:00;0,00;0,00;0,00
01.01.2015;06:00;0,00;0,00;0,00
01.01.2015;07:00;0,00;0,00;0,00
01.01.2015;08:00;0,00;0,00;0,00
01.01.2015;09:00;0,00;0,00;0,00
01.01.2015;10:00;0,24;0,10;0,09
01.01.2015;11:00;90,02;38,82;31,91
01.01.2015;12:00;88,20;38,04;31,27
01.01.2015;13:00;125,08;53,94;44,34
01.01.2015;14:00;122,98;53,03;43,60
01.01.2015;15:00;125,00;53,90;44,32
01.01.2015;16:00;165,00;71,15;58,50
01.01.2015;17:00;165,00;71,15;58,50
01.01.2015;18:00;160,00;69,00;56,72
01.01.2015;19:00;150,01;64,69;53,18
01.01.2015;20:00;125,09;53,94;44,35
01.01.2015;21:00;151,58;65,37;53,74
01.01.2015;22:00;165,00;71,15;58,50
01.01.2015;23:00;150,00;64,69;53,18
02.01.2015;00:00;122,98;52,85;43,50
02.01.2015;01:00;94,57;40,64;33,45
02.01.2015;02:00;0,00;0,00;0,00
02.01.2015;03:00;0,00;0,00;0,00
02.01.2015;04:00;0,00;0,00;0,00
02.01.2015;05:00;0,00;0,00;0,00
02.01.2015;06:00;59,88;25,73;21,18
02.01.2015;07:00;122,98;52,85;43,50
02.01.2015;08:00;155,00;66,61;54,82
02.01.2015;09:00;194,85;83,74;68,92
02.01.2015;10:00;194,84;83,73;68,92
02.01.2015;11:00;180,27;77,47;63,76
02.01.2015;12:00;165,00;70,91;58,36
02.01.2015;13:00;167,99;72,19;59,42
02.01.2015;14:00;178,00;76,50;62,96
02.01.2015;15:00;197,68;84,95;69,92
02.01.2015;16:00;209,64;90,09;74,15
02.01.2015;17:00;194,85;83,74;68,92
02.01.2015;18:00;160,00;68,76;56,59
02.01.2015;19:00;154,99;66,61;54,82
02.01.2015;20:00;145,00;62,31;51,29
02.01.2015;21:00;123,57;53,10;43,71
02.01.2015;22:00;150,00;64,46;53,06
02.01.2015;23:00;122,98;52,85;43,50
03.01.2015;00:00;165,01;70,91;58,37
03.01.2015;01:00;145,00;62,31;51,29
03.01.2015;02:00;95,85;41,19;33,90
03.01.2015;03:00;20,02;8,60;7,08
03.01.2015;04:00;20,10;8,64;7,11
03.01.2015;05:00;30,07;12,92;10,64
03.01.2015;06:00;100,94;43,38;35,70
03.01.2015;07:00;122,78;52,77;43,43
03.01.2015;08:00;165,00;70,91;58,36
03.01.2015;09:00;180,77;77,69;63,94
03.01.2015;10:00;194,84;83,73;68,92
03.01.2015;11:00;208,94;89,79;73,90
03.01.2015;12:00;194,85;83,74;68,92
03.01.2015;13:00;194,85;83,74;68,92
03.01.2015;14:00;180,78;77,69;63,94
03.01.2015;15:00;179,93;77,33;63,64
03.01.2015;16:00;194,84;83,73;68,92
03.01.2015;17:00;191,13;82,14;67,60
03.01.2015;18:00;177,99;76,49;62,96
03.01.2015;19:00;165,00;70,91;58,36
03.01.2015;20:00;159,99;68,76;56,59
03.01.2015;21:00;145,00;62,31;51,29
03.01.2015;22:00;165,01;70,91;58,37
03.01.2015;23:00;144,99;62,31;51,28
04.01.2015;00:00;155,01;66,11;54,86
04.01.2015;01:00;165,00;70,37;58,39
04.01.2015;02:00;140,00;59,70;49,54
04.01.2015;03:00;122,78;52,36;43,45
04.01.2015;04:00;104,99;44,77;37,15
04.01.2015;05:00;125,05;53,33;44,25
04.01.2015;06:00;122,99;52,45;43,52
04.01.2015;07:00;122,77;52,36;43,45
04.01.2015;08:00;125,01;53,31;44,24
04.01.2015;09:00;165,00;70,37;58,39
04.01.2015;10:00;125,09;53,35;44,27
04.01.2015;11:00;141,99;60,55;50,25
04.01.2015;12:00;140,78;60,04;49,82
04.01.2015;13:00;140,78;60,04;49,82
04.01.2015;14:00;140,78;60,04;49,82
04.01.2015;15:00;140,78;60,04;49,82
04.01.2015;16:00;165,01;70,37;58,39
04.01.2015;17:00;194,84;83,09;68,95
04.01.2015;18:00;194,84;83,09;68,95
04.01.2015;19:00;165,01;70,37;58,39
04.01.2015;20:00;165,01;70,37;58,39
04.01.2015;21:00;165,00;70,37;58,39
04.01.2015;22:00;165,00;70,37;58,39
04.01.2015;23:00;159,99;68,23;56,62
05.01.2015;00:00;140,00;59,70;49,54
05.01.2015;01:00;110,78;47,24;39,20
05.01.2015;02:00;20,06;8,55;7,10
05.01.2015;03:00;20,01;8,53;7,08
05.01.2015;04:00;30,02;12,80;10,62
05.01.2015;05:00;30,09;12,83;10,65
05.01.2015;06:00;120,99;51,60;42,82
05.01.2015;07:00;139,99;59,70;49,54
05.01.2015;08:00;165,01;70,37;58,39
05.01.2015;09:00;195,04;83,18;69,02
05.01.2015;10:00;208,95;89,11;73,94
05.01.2015;11:00;194,85;83,10;68,95
05.01.2015;12:00;178,00;75,91;62,99
05.01.2015;13:00;194,85;83,10;68,95
05.01.2015;14:00;194,85;83,10;68,95
05.01.2015;15:00;194,85;83,10;68,95
05.01.2015;16:00;195,07;83,19;69,03
05.01.2015;17:00;194,84;83,09;68,95
05.01.2015;18:00;165,01;70,37;58,39
05.01.2015;19:00;159,99;68,23;56,62
05.01.2015;20:00;155,00;66,10;54,85
05.01.2015;21:00;122,37;52,19;43,30
05.01.2015;22:00;154,99;66,10;54,85
05.01.2015;23:00;106,10;45,25;37,55
06.01.2015;00:00;147,00;62,69;52,02
06.01.2015;01:00;122,93;52,42;43,50
06.01.2015;02:00;84,51;36,04;29,91
06.01.2015;03:00;30,06;12,82;10,64
06.01.2015;04:00;70,07;29,88;24,80
06.01.2015;05:00;83,96;35,81;29,71
06.01.2015;06:00;120,99;51,60;42,82
06.01.2015;07:00;178,01;75,91;62,99
06.01.2015;08:00;178,01;75,91;62,99
06.01.2015;09:00;197,54;84,24;69,91
06.01.2015;10:00;192,93;82,28;68,27
06.01.2015;11:00;197,80;84,35;70,00
06.01.2015;12:00;190,00;81,03;67,24
06.01.2015;13:00;197,54;84,24;69,91
06.01.2015;14:00;197,53;84,24;69,90
06.01.2015;15:00;197,80;84,35;70,00
06.01.2015;16:00;216,04;92,13;76,45
06.01.2015;17:00;205,94;87,82;72,88
06.01.2015;18:00;189,99;81,02;67,23
06.01.2015;19:00;178,01;75,91;62,99
06.01.2015;20:00;165,01;70,37;58,39
06.01.2015;21:00;138,99;59,27;49,19
06.01.2015;22:00;121,00;51,60;42,82
06.01.2015;23:00;139,00;59,28;49,19
07.01.2015;00:00;130,01;55,53;46,55
07.01.2015;01:00;123,18;52,62;44,10
07.01.2015;02:00;110,10;47,03;39,42
07.01.2015;03:00;99,94;42,69;35,78
07.01.2015;04:00;99,64;42,56;35,67
07.01.2015;05:00;110,27;47,10;39,48
07.01.2015;06:00;123,18;52,62;44,10
07.01.2015;07:00;138,99;59,37;49,76
07.01.2015;08:00;208,93;89,24;74,80
07.01.2015;09:00;216,23;92,36;77,42
07.01.2015;10:00;216,49;92,47;77,51
07.01.2015;11:00;216,65;92,54;77,57
07.01.2015;12:00;216,31;92,40;77,44
07.01.2015;13:00;216,40;92,44;77,48
07.01.2015;14:00;216,78;92,60;77,61
07.01.2015;15:00;216,72;92,57;77,59
07.01.2015;16:00;216,97;92,68;77,68
07.01.2015;17:00;216,77;92,59;77,61
07.01.2015;18:00;216,12;92,32;77,38
07.01.2015;19:00;210,36;89,86;75,31
07.01.2015;20:00;197,79;84,49;70,81
07.01.2015;21:00;190,78;81,49;68,30
07.01.2015;22:00;195,00;83,29;69,81
07.01.2015;23:00;189,93;81,13;68,00
08.01.2015;00:00;146,99;63,15;53,00
08.01.2015;01:00;129,75;55,74;46,78
08.01.2015;02:00;119,77;51,45;43,18
08.01.2015;03:00;105,33;45,25;37,98
08.01.2015;04:00;110,00;47,26;39,66
08.01.2015;05:00;119,78;51,46;43,19
08.01.2015;06:00;139,01;59,72;50,12
08.01.2015;07:00;175,00;75,18;63,09
08.01.2015;08:00;191,73;82,37;69,13
08.01.2015;09:00;216,78;93,13;78,16
08.01.2015;10:00;217,28;93,35;78,34
08.01.2015;11:00;217,52;93,45;78,43
08.01.2015;12:00;217,08;93,26;78,27
08.01.2015;13:00;217,23;93,32;78,32
08.01.2015;14:00;217,47;93,43;78,41
08.01.2015;15:00;217,46;93,42;78,40
08.01.2015;16:00;217,68;93,52;78,48
08.01.2015;17:00;217,49;93,44;78,41
08.01.2015;18:00;216,52;93,02;78,06
08.01.2015;19:00;216,17;92,87;77,94
08.01.2015;20:00;195,00;83,77;70,31
08.01.2015;21:00;188,41;80,94;67,93
08.01.2015;22:00;194,99;83,77;70,30
08.01.2015;23:00;165,01;70,89;59,49
09.01.2015;00:00;145,00;62,35;52,60
09.01.2015;01:00;125,09;53,79;45,38
09.01.2015;02:00;124,10;53,36;45,02
09.01.2015;03:00;117,71;50,62;42,70
09.01.2015;04:00;116,71;50,19;42,34
09.01.2015;05:00;116,83;50,24;42,38
09.01.2015;06:00;141,99;61,06;51,51
09.01.2015;07:00;144,99;62,35;52,60
09.01.2015;08:00;200,10;86,05;72,59
09.01.2015;09:00;217,51;93,53;78,90
