Date,Rdemand,Demand,,,,,,,,,,,
02/03/2020,4545438,5438241,,,,,,,,,,,
03/03/2020,5234110,5364363,,,,,,,,,,,
04/03/2020,5293343,4935146,,,,,,,,,,,
05/03/2020,5335076,3166802,,,,,,,,,,,
06/03/2020,5254539,4651434,,,,,,,,,,,
07/03/2020,5041579,5401756,,,,,,,,,,,
08/03/2020,3172026,5337608,,,,,,,,,,,
09/03/2020,4586688,5365160,,,,,,,,,,,
10/03/2020,5371431,5364348,,,,,,,,,,,
11/03/2020,5356172,4937225,,,,,,,,,,,
12/03/2020,5438318,3215430,,,,,,,,,,,
13/03/2020,5378375,4538257,,,,,,,,,,,
14/03/2020,5043844,5273982,,,,,,,,,,,
15/03/2020,3170130,4174043,,,,,,,,,,,
16/03/2020,4639749,4918641,,,,,,,,,,,
17/03/2020,5389767,5338948,,,,,,,,,,,
18/03/2020,5378375,4850090,,,,,,,,,,,
19/03/2020,5454193,3327107,,,,,,,,,,,
20/03/2020,5311282,4655549,,,,,,,,,,,
21/03/2020,4629632,5368556,,,,,,,,,,,
22/03/2020,2625540,5406918,,,,,,,,,,,
23/03/2020,3893964,5458568,,,,,,,,,,,
24/03/2020,4480551,5420550,,,,,,,,,,,
25/03/2020,4332976,4914232,,,,,,,,,,,
26/03/2020,4221142,3350903,,,,,,,,,,,
27/03/2020,4077745,4210595,,,,,,,,,,,
28/03/2020,3521973,4688255,,,,,,,,,,,
29/03/2020,2070765,4425952,,,,,,,,,,,
30/03/2020,3157063,2136373,,,,,,,,,,,
31/03/2020,3649019,973795,,,,,,,,,,,
01/04/2020,3510282,1151871,,,,,,,,,,,
02/04/2020,3404856,1232526,,,,,,,,,,,
03/04/2020,3228430,1407190,,,,,,,,,,,
04/04/2020,2594614,3525908,,,,,,,,,,,
05/04/2020,1642300,4705421,,,,,,,,,,,
06/04/2020,2611735,4911883,,,,,,,,,,,
07/04/2020,2910203,5020912,,,,,,,,,,,
08/04/2020,2892026,4634562,,,,,,,,,,,
09/04/2020,2885786,3108693,,,,,,,,,,,
10/04/2020,2789511,4508253,,,,,,,,,,,
11/04/2020,1302109,5385429,,,,,,,,,,,
12/04/2020,1202704,5483693,,,,,,,,,,,
13/04/2020,2393767,5562164,,,,,,,,,,,
14/04/2020,2875098,5472610,,,,,,,,,,,
15/04/2020,2949108,4942374,,,,,,,,,,,
16/04/2020,2996393,3360430,,,,,,,,,,,
17/04/2020,2812427,4561653,,,,,,,,,,,
18/04/2020,1949620,5283314,,,,,,,,,,,
19/04/2020,1460982,5419607,,,,,,,,,,,
20/04/2020,2913627,5419525,,,,,,,,,,,
21/04/2020,3603110,5412244,,,,,,,,,,,
22/04/2020,3531967,5058029,,,,,,,,,,,
23/04/2020,1950738,3501507,,,,,,,,,,,
24/04/2020,2332590,4725196,,,,,,,,,,,
25/04/2020,2295473,5452201,,,,,,,,,,,
26/04/2020,1467148,5440695,,,,,,,,,,,
27/04/2020,2959589,5464016,,,,,,,,,,,
28/04/2020,3486035,5420262,,,,,,,,,,,
29/04/2020,3505438,5018907,,,,,,,,,,,
30/04/2020,3265145,3254364,,,,,,,,,,,
01/05/2020,1604671,4567844,,,,,,,,,,,
02/05/2020,1531617,5432643,,,,,,,,,,,
03/05/2020,1391892,5534267,,,,,,,,,,,
04/05/2020,3350371,5599895,,,,,,,,,,,
05/05/2020,4277638,5444698,,,,,,,,,,,
06/05/2020,4317639,4957388,,,,,,,,,,,
07/05/2020,4288741,3140797,,,,,,,,,,,
08/05/2020,4080777,4709997,,,,,,,,,,,
09/05/2020,3188918,5512501,,,,,,,,,,,
10/05/2020,1932255,5573182,,,,,,,,,,,
11/05/2020,3550481,5549508,,,,,,,,,,,
12/05/2020,4467045,5463055,,,,,,,,,,,
13/05/2020,4509219,5090031,,,,,,,,,,,
14/05/2020,4500523,3459000,,,,,,,,,,,
15/05/2020,4391016,4734381,,,,,,,,,,,
16/05/2020,3880595,5488970,,,,,,,,,,,
17/05/2020,2319042,5501061,,,,,,,,,,,
18/05/2020,2914296,5515169,,,,,,,,,,,
19/05/2020,2470467,5416678,,,,,,,,,,,
20/05/2020,3701688,4955578,,,,,,,,,,,
21/05/2020,4031832,3396234,,,,,,,,,,,
22/05/2020,3686019,4637816,,,,,,,,,,,
23/05/2020,1356392,5418953,,,,,,,,,,,
24/05/2020,846041,5469551,,,,,,,,,,,
25/05/2020,916385,5477140,,,,,,,,,,,
26/05/2020,1039826,5394830,,,,,,,,,,,
27/05/2020,3020653,5079150,,,,,,,,,,,
28/05/2020,3889841,3547529,,,,,,,,,,,
29/05/2020,3983637,4635480,,,,,,,,,,,
30/05/2020,3636129,5411410,,,,,,,,,,,
31/05/2020,2130117,5325257,,,,,,,,,,,
01/06/2020,3796357,5270995,,,,,,,,,,,
02/06/2020,4731916,5294137,,,,,,,,,,,
03/06/2020,4815291,4965137,,,,,,,,,,,
04/06/2020,4820492,3383568,,,,,,,,,,,
05/06/2020,4717342,4804032,,,,,,,,,,,
06/06/2020,4252997,5550518,,,,,,,,,,,
07/06/2020,2601178,5508148,,,,,,,,,,,
08/06/2020,4198320,5459286,,,,,,,,,,,
09/06/2020,5119124,5291835,,,,,,,,,,,
10/06/2020,5113746,5058808,,,,,,,,,,,
11/06/2020,5102055,3422368,,,,,,,,,,,
12/06/2020,5018024,4655275,,,,,,,,,,,
13/06/2020,4481687,5373910,,,,,,,,,,,
14/06/2020,2819670,5356255,,,,,,,,,,,
15/06/2020,4342125,5387095,,,,,,,,,,,
16/06/2020,5151380,5373328,,,,,,,,,,,
17/06/2020,5187094,4957920,,,,,,,,,,,
18/06/2020,5196493,3281594,,,,,,,,,,,
19/06/2020,5025880,4557019,,,,,,,,,,,
20/06/2020,4505501,5268276,,,,,,,,,,,
21/06/2020,2779580,5378520,,,,,,,,,,,
22/06/2020,4281265,5343150,,,,,,,,,,,
23/06/2020,4755042,5368522,,,,,,,,,,,
24/06/2020,4982116,5143096,,,,,,,,,,,
25/06/2020,5109402,3589044,,,,,,,,,,,
26/06/2020,5019375,4649142,,,,,,,,,,,
