,,solar,wind
2019-01-01,00:00:00,0,0.6
2019-01-01,01:00:00,0,0.625
2019-01-01,02:00:00,0,0.641
2019-01-01,03:00:00,0,0.649
2019-01-01,04:00:00,0,0.663
2019-01-01,05:00:00,0,0.675
2019-01-01,06:00:00,0.03,0.645
2019-01-01,07:00:00,0.087,0.605
2019-01-01,08:00:00,0.143,0.69
2019-01-01,09:00:00,0.197,0.752
2019-01-01,10:00:00,0.205,0.785
2019-01-01,11:00:00,0.183,0.808
2019-01-01,12:00:00,0.143,0.818
2019-01-01,13:00:00,0.085,0.791
2019-01-01,14:00:00,0.012,0.744
2019-01-01,15:00:00,0,0.703
2019-01-01,16:00:00,0,0.671
2019-01-01,17:00:00,0,0.621
2019-01-01,18:00:00,0,0.581
2019-01-01,19:00:00,0,0.572
2019-01-01,20:00:00,0,0.534
2019-01-01,21:00:00,0,0.504
2019-01-01,22:00:00,0,0.459
2019-01-01,23:00:00,0,0.448
2019-01-02,00:00:00,0,0.382
2019-01-02,01:00:00,0,0.315
2019-01-02,02:00:00,0,0.295
2019-01-02,03:00:00,0,0.278
2019-01-02,04:00:00,0,0.266
2019-01-02,05:00:00,0,0.251
2019-01-02,06:00:00,0.052,0.185
2019-01-02,07:00:00,0.16,0.156
2019-01-02,08:00:00,0.254,0.122
2019-01-02,09:00:00,0.332,0.08
2019-01-02,10:00:00,0.351,0.05
2019-01-02,11:00:00,0.265,0.035
2019-01-02,12:00:00,0.194,0.03
2019-01-02,13:00:00,0.096,0.029
2019-01-02,14:00:00,0.01,0.031
2019-01-02,15:00:00,0,0.028
2019-01-02,16:00:00,0,0.02
2019-01-02,17:00:00,0,0.011
2019-01-02,18:00:00,0,0.007
2019-01-02,19:00:00,0,0.009
2019-01-02,20:00:00,0,0.017
2019-01-02,21:00:00,0,0.041
2019-01-02,22:00:00,0,0.073
2019-01-02,23:00:00,0,0.108
2019-01-03,00:00:00,0,0.149
2019-01-03,01:00:00,0,0.177
2019-01-03,02:00:00,0,0.178
2019-01-03,03:00:00,0,0.184
2019-01-03,04:00:00,0,0.195
